Dataset,Age,sex,PLT,MPV,Bodyweight,BMD,BMC,PctFat
Eumorphia1,12,m,708,,,,,
Eumorphia1,12,m,718,,,,,
Eumorphia1,12,m,930,,,,,
Eumorphia1,12,m,1000,,,,,
Eumorphia1,12,m,1013,,,,,
Eumorphia1,12,m,646,,,,,
Eumorphia1,12,m,673,,,,,
Eumorphia1,12,m,504,,,,,
Eumorphia1,12,m,1056,,,,,
Eumorphia1,12,m,908,,,,,
Eumorphia1,12,m,914,,,,,
Eumorphia1,12,m,935,,,,,
Eumorphia1,12,m,988,,,,,
Eumorphia1,12,m,958,,,,,
Eumorphia1,12,m,950,,,,,
Graubert1,9,f,663,,,,,
Graubert1,9,f,588,,,,,
Graubert1,9,f,622,,,,,
Graubert1,9,f,699,,,,,
Graubert1,9,f,624,,,,,
Graubert1,9,f,607,,,,,
Graubert1,9,f,819,,,,,
Graubert1,9,f,858,,,,,
Graubert1,9,f,617,,,,,
Graubert1,9,f,643,,,,,
Graubert1,9,f,210,,,,,
Graubert1,9,f,621,,,,,
Graubert1,9,m,827,,,,,
Graubert1,9,m,693,,,,,
Graubert1,9,m,488,,,,,
Graubert1,9,m,571,,,,,
Graubert1,9,m,618,,,,,
Graubert1,9,m,701,,,,,
Graubert1,9,m,802,,,,,
Graubert1,9,m,587,,,,,
Graubert1,9,m,721,,,,,
Graubert1,9,m,700,,,,,
Graubert1,9,m,771,,,,,
Graubert1,9,m,641,,,,,
Graubert1,9,m,816,,,,,
HMDPpheno5,16,m,228,6,,,,
HMDPpheno5,16,m,128,5.8,,,,
HMDPpheno5,16,m,59,5.7,,,,
Jaxpheno4,8,f,489,5.4,,,,
Jaxpheno4,8,f,586,5.7,,,,
Jaxpheno4,8,f,713,6.9,,,,
Jaxpheno4,8,f,713,6.9,,,,
Jaxpheno4,8,f,813,5.6,,,,
Jaxpheno4,8,f,849,6.7,,,,
Jaxpheno4,8,f,849,6.7,,,,
Jaxpheno4,8,f,873,6.6,,,,
Jaxpheno4,8,f,884,5.8,,,,
Jaxpheno4,8,f,890,6.5,,,,
Jaxpheno4,8,f,894,7.3,,,,
Jaxpheno4,8,f,894,7.3,,,,
Jaxpheno4,8,f,912,6.3,,,,
Jaxpheno4,8,m,913,7.8,,,,
Jaxpheno4,8,f,914,6.8,,,,
Jaxpheno4,8,m,933,5.8,,,,
Jaxpheno4,8,f,935,6.1,,,,
Jaxpheno4,8,f,944,6.3,,,,
Jaxpheno4,8,f,948,6.2,,,,
Jaxpheno4,8,f,956,6.8,,,,
