Phenotype data set -- Mouse Phenome Database (phenome.jax.org),,,,,,
"Data set: CGDpheno2    Title: Variation over time for C57BL/6J controls, multi-system survey of mouse physiology    Year: 2009",,,,,,
Table of individual animal values,,,,,,
For metadata and more info please see:  http://phenome.jax.org/db/q?rtn=projects/details&sym=CGDpheno2&mlistmode=varnames,,,,,,
,,,,,,
strain,sex,id,age,testdate,parameter,value
C57BL/6J,f,453935,10,9/26/2002,carbon dioxide,14.6
C57BL/6J,f,453935,10,9/26/2002,chloride,114
C57BL/6J,f,453935,10,9/26/2002,potassium,6.6
C57BL/6J,f,453935,10,9/26/2002,sodium,139
C57BL/6J,f,453935,11,9/26/2002,pctEOS,1.8
C57BL/6J,f,453935,11,9/26/2002,HCT,49.5
C57BL/6J,f,453935,11,9/26/2002,HDW,2.15
C57BL/6J,f,453935,11,9/26/2002,pctLYMP,90
C57BL/6J,f,453935,11,9/26/2002,MCH,16.3
C57BL/6J,f,453935,11,9/26/2002,MCHC,33.9
C57BL/6J,f,453935,11,9/26/2002,MCV,48
C57BL/6J,f,453935,11,9/26/2002,pctMONO,1
C57BL/6J,f,453935,11,9/26/2002,MPV,5.5
C57BL/6J,f,453935,11,9/26/2002,pctNEUT,6.6
C57BL/6J,f,453935,11,9/26/2002,PLT,1007
C57BL/6J,f,453935,11,9/26/2002,RBC,10.3
C57BL/6J,f,453935,11,9/26/2002,RDW,15.1
C57BL/6J,f,453935,11,9/26/2002,pct Retic,6.1
C57BL/6J,f,453935,11,9/26/2002,WBC,10.1
C57BL/6J,f,453935,11,9/26/2002,mHGB,16.8
C57BL/6J,f,453935,12,10/16/2002,BUN,24
C57BL/6J,f,453935,12,10/16/2002,CHOL,64
C57BL/6J,f,453935,12,10/16/2002,GLU,205
C57BL/6J,f,453935,12,10/16/2002,HDLD,64.4
C57BL/6J,f,453935,12,10/16/2002,NEFA,2.29
C57BL/6J,f,453935,12,10/16/2002,T4,5.9
C57BL/6J,f,453935,12,10/16/2002,TBIL,0.45
C57BL/6J,f,453935,12,10/16/2002,TG,79
C57BL/6J,f,453935,12,10/4/2002,pctFat,17.6
C57BL/6J,f,453935,12,10/4/2002,BMD,0.0466
C57BL/6J,f,453935,12,10/4/2002,LTM,15.1
