strain,sex,animal_id,RBC,WBC,LYM,LYM_pct,NEUT,NEUT_pct,MONO,MONO_pct,EOS,EOS_pct,BASO,BASO_pct,RDW,MCV,HGB,PLT,MPV
PreCC555/Unc,m,OR555m52,11.34,9.32,6.74,72.32,2.33,25.00,0.22,2.36,0.02,0.21,0.00,0.00,20,58.3,14.8,1386,4
PreCC5560/Unc,m,OR5560m130,7.34,7.18,5.99,83.43,0.92,12.81,0.26,3.62,0.01,0.14,0.00,0.00,18.9,40.7,10.2,907,5
PreCC559/Unc,m,OR559m152,12.21,5.64,3.44,60.99,1.73,30.67,0.40,7.09,0.06,1.06,0.01,0.18,17.8,53.7,15.5,1420,5.1
PreCC5612/Unc,m,OR5612m133,12.07,10.88,7.65,70.31,2.26,20.77,0.93,8.55,0.03,0.28,0.01,0.09,17.3,47.9,16.1,829,4.2
PreCC692/Unc,m,OR692m181,11.04,13.22,8.43,63.77,3.20,24.21,1.25,9.46,0.24,1.82,0.10,0.76,24.1,48.8,17.4,879,4.8
PreCC712/Unc,m,OR712m172,10.16,8.44,5.92,70.14,1.90,22.51,0.53,6.28,0.09,1.07,0.01,0.12,16.5,55.6,15.4,641,5.2
PreCC739/Unc,m,OR739m165,9.78,13.48,8.39,62.24,3.57,26.48,1.00,7.42,0.38,2.82,0.13,0.96,19.5,54.7,15.9,728,6
PreCC779/Unc,m,OR779m146,11.69,12.24,7.93,64.79,3.69,30.15,0.39,3.19,0.20,1.63,0.03,0.25,18.3,47.6,14.7,1927,4.6
PreCC799/Unc,m,OR799m164,12.78,13.98,8.93,63.88,3.30,23.61,1.45,10.37,0.22,1.57,0.08,0.57,18.4,64.2,18.7,422,5.1
PreCC801/Unc,m,OR801m64,9.54,8.32,6.62,79.57,1.21,14.54,0.44,5.29,0.05,0.60,0.00,0.00,18.1,52.9,14.7,766,4
PreCC820/Unc,m,OR820m63,11.21,8.58,5.74,66.90,1.91,22.26,0.68,7.93,0.18,2.10,0.07,0.82,18.9,54.2,15.3,343,5.1
PreCC821/Unc,m,OR821m62,11.02,11.32,7.57,66.87,2.09,18.46,1.49,13.16,0.12,1.06,0.04,0.35,16.6,52,15.8,922,5.3
