strain,sex,animal_id,GLU,CHOL,HDL,TG,RBC,WBC,pctLYMP,pctNEUT,pctMONO,pctBASO,pctEOS,pctLUC,pctRetic,RDW,MCV,MCH,MCHC,CHCM,HDW,mHGB,cHGB,HCT,PLT,MPV,systolic_BP,pulse,HR,CV,R_amplitude,RS_amplitude,RR,PQ,PR,QRS,QT,QTc,QT_dispersion,QTc_dispersion,ST,BMD,BMC,bone_area,total_area,LTM,pct_fat,TTM,bw
B6WSBF1,f,BHF1F05,181.5,83.5,73.75,75.5,9.35,4.46,85.1,7.5,1.3,0.1,5.4,0.6,3.8,15.6,47.4,16.3,34.3,31.2,1.78,15.2,13.8,44.4,1522,11.8,,,736,3.33,400.85,477.36,81.7,23.4,31.1,11.1,46.7,51.8,18.5,19.3,36.1,,,,,,,,
B6WSBF1,m,BHF1M01,180,96,88.95,60.5,10.18,4.57,77.5,15.1,2.9,0.1,3.8,0.5,3.5,14,46,15.3,33.2,31.3,1.72,15.6,14.7,46.8,1204,5.1,,,748,1.92,229.73,258.37,80.2,23,30.5,10.4,39.6,44.2,21,23.1,29.7,0.06,0.27,5.37,10.39,9.4,13.65,11.12,24.45
B6WSBF1,m,BHF1M02,210,104.5,99.1,90,10.22,6.62,81.6,13.6,2,0.2,2.2,0.5,3.7,14.1,45,15.3,33.9,32,1.69,15.6,14.7,46,1253,5.3,,,599,5.22,451.19,504.15,100.4,26.9,34.5,10.9,47.8,47.7,25.5,24.2,37.4,0.05,0.25,5.19,10.82,10.15,13.38,12.15,26.02
B6WSBF1,m,BHF1M03,231.5,105,96.85,72,9.68,7.9,85.4,9.6,1.6,0.2,2.7,0.4,6.1,14.3,45.7,15.8,34.5,31.9,1.87,15.3,14.1,44.3,1340,6.7,,,806,10.64,218.69,168.63,75.2,17.7,23.6,10.2,40.4,46.9,22,27.8,30.8,0.05,0.23,4.78,10.18,9.05,13.43,10.82,23.07
B6WSBF1,m,BHF1M04,216.5,105,96.55,83,9.43,4.47,69.5,25.2,1.4,0.1,3.2,0.6,5.2,15.1,46,15.5,33.7,31.4,1.81,14.6,13.6,43.4,1263,5.8,,,797,1.14,268.39,351.07,75.3,20.3,27.9,10.5,38.4,44.2,17,19.1,28.4,0.07,0.27,5.12,10.84,9.95,15.85,12.12,26.27
B6WSBF1,m,BHF1M05,207,104.5,97.25,76.5,10.25,7.34,83.9,11.4,1.8,0.1,2.4,0.4,4.2,14.7,45.2,15.2,33.7,31.9,1.73,15.6,14.8,46.4,1103,5.8,,,638,5.95,317.43,345.15,94.3,24.5,33,11.5,47,48.4,24,22.8,36,0.06,0.27,5.2,10.81,9.8,13.54,11.79,25.14
C57BL/6J,f,BBF1F01,195,76,65.9,92,9.79,9.59,90.6,6.7,0.6,0.4,0.9,0.8,5.6,16.1,44.7,14.9,33.2,32.6,2,14.6,14.3,43.8,923,4.6,,,747,1.7,387.69,517.5,80.3,23.9,31.3,10.8,41,45.8,22.5,25.4,30.8,0.05,0.2,4.4,10.61,8.2,22.05,11.28,23.62
C57BL/6J,f,BBF1F02,186,81,69.7,66,10.54,9.13,89,7.8,1,0.2,1,1,5.9,15.6,46.4,14.6,31.5,31.8,1.94,15.4,15.5,48.9,1014,4.7,,,722,2.1,364.1,530.15,83.1,23.9,30.9,10.4,41.9,46,28.5,31.9,32.1,0.06,0.23,4.78,10.16,8.25,18.69,10.51,22.32
C57BL/6J,f,BBF1F03,156,82,73.4,85,9.89,10.74,87.5,8.1,1.3,0.3,1.5,1.2,3.9,15.6,44,14.5,32.9,32.7,1.98,14.3,14.3,43.6,1095,4.5,,,719,1.74,269.2,387.16,83.5,18.3,22.7,8.8,45.8,50.2,2.5,2.9,37.5,0.06,0.2,4.37,9.16,7,19.08,9.35,19.61
C57BL/6J,f,BBF1F04,195,77,64.6,91,9.77,11.3,89.7,5.8,0.6,0.4,1.8,1.7,3.2,16.3,48.2,15.3,31.7,31.1,2.41,14.9,14.6,47,936,4.8,,,740,1.2,476.06,596.88,81.1,26.6,32.9,9.9,40.9,45.4,23.5,26.2,31.5,0.06,0.26,5.43,10.97,9,15.97,11.14,24.57
C57BL/6J,f,BBF1F05,189,81,70.4,74,9.76,10.34,91.5,5.7,0.4,0.4,1.3,0.6,2.5,16.2,46.8,15.2,32.4,31.6,2.46,14.8,14.5,45.7,1078,4.7,,,792,1.46,678.16,661.59,75.7,24.3,30.5,10.2,39.9,45.9,21.5,24.2,30.3,0.06,0.25,5.07,10.29,8.45,14.37,10.42,22.77
C57BL/6J,m,BBF1M01,233,104,92.2,77,10.31,9.6,84.9,10.6,1.4,0.2,1.5,1.3,3,14.9,45.1,14.5,32.2,32.1,1.83,15,14.9,46.5,1083,4.5,,,689,2.34,427.54,503.61,87.2,22.5,29.5,10.4,42.4,45.5,13.5,14.4,32.5,0.05,0.22,4.75,12.1,10.3,23.66,14.15,29.57
