strain,sex,animal_id,ALT,ALP,AST,CK,GLU,HDL,HGB,LDH,LDL,MCH,MCHC,MCV,PLT,RBC,WBC,ALB,amylase,calcium,chloride,CHOL,creatinine,ferritin,FFA,iron,LYMP,MONO,phosphorus,potassium,sodium,TBIL,total,transferrin,TG,BUN,uric_acid
C3HeB/FeJ,m,33925,,,,,,,15.7,,,15.5,31,50,674,10.1,6.60,,,,,,,,,,,,,,,,,,,,
C3HeB/FeJ,m,33926,,,,,,,15.4,,,15.3,31,49,739,10,6.40,,,,,,,,,,,,,,,,,,,,
C3HeB/FeJ,m,33927,,,,,,,15.6,,,15.6,31.6,49,692,9.98,8.30,,,,,,,,,,,,,,,,,,,,
C3HeB/FeJ,m,33928,,,,,,,15.7,,,15.5,31.4,49,707,10.2,7.10,,,,,,,,,,,,,,,,,,,,
C3HeB/FeJ,m,33929,,,,,,,14.6,,,15.2,30.6,50,723,9.65,4.40,,,,,,,,,,,,,,,,,,,,
C3HeB/FeJ,m,33930,,,,,,,15,,,15.6,31.3,50,714,9.57,5.30,,,,,,,,,,,,,,,,,,,,
C3HeB/FeJ,m,33931,,,,,,,15.7,,,15.5,31.3,49,732,10.2,6.90,,,,,,,,,,,,,,,,,,,,
C3HeB/FeJ,m,33932,,,,,,,15.1,,,15.4,31.2,49,699,9.82,7.40,,,,,,,,,,,,,,,,,,,,
C3HeB/FeJ,m,33933,,,,,,,16.7,,,15.2,30.7,50,578,11,5.10,,,,,,,,,,,,,,,,,,,,
C3HeB/FeJ,m,33934,,,,,,,15.8,,,15.2,30.5,50,702,10.4,5.10,,,,,,,,,,,,,,,,,,,,
C3HeB/FeJ,m,33935,,,,,,,15.1,,,15.5,31.1,50,716,9.77,5.80,,,,,,,,,,,,,,,,,,,,
C3HeB/FeJ,m,33936,,,,,,,15.7,,,15.4,30.8,50,662,10.2,6.60,,,,,,,,,,,,,,,,,,,,
