strain,sex,animal_id,sodium,potassium,chloride,calcium,anion_gap,carbon_dioxide,GLU,GLU_fast,BUN,creatinine,WBC,LYM,pct_LYM,MONO,pct_MONO,GRA,pct_GRA,pct_EOS,RBC,MCV,RDW,MCH,MCHC,hemoglobin,hematocrit,platelets,MPV,testes_wt,litter_size,age_first_litter,duration_to_litter,distance3_OFT,distance10_OFT,transitions_OFT,center1_OFT,center10_OFT,distance_center_OFT,pct_center_OFT,latency_periphery_OFT,duration_periphery_OFT,immobile_OFT,fecal_boli_OFT,urination_OFT,duration_light_LD,distance_light_LD,pct_light_LD,latency_dark_LD,transitions_LD,fecal_boli_LD,urination_LD,capture_score,hold_score,wildness_score,tail_clip,hot_plate,pct_sleep_daily,pct_sleep_dark,pct_daily_deprivation,pct_dark_deprivation,act_dark_deprivation,body_weight,body_length,tail_length,gonad_fat_wt,bone_circumference,brain_wt,heart_wt,kidneyL_length,kidneyR_length,kidney_vol,kidneyL_wt,kidneyR_wt,kidney_both_wt,spleen_wt
C57BL/6J,f,121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,66,30,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,
C57BL/6J,f,122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,65,29,,,,,,,,,,,,,,,,,,,,0,1,1,,,,,,,,,,,,,,,,,,,,,
C57BL/6J,f,123,,,,,,,,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.52,,8.6,0.235,,,0.209,,,,0.188,,,
C57BL/6J,f,126,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.72,,10,0.706,,,0.158,,,,0.214,,,
C57BL/6J,f,127,,,,,,,,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.76,,9,0.332,,,0.159,,,,0.183,,,
C57BL/6J,f,128,,,,,,,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.05,,9.5,0.653,,,0.157,,,,0.225,,,
C57BL/6J,f,129,,,,,,,,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.84,,9.4,1.42,,,0.183,,,,0.219,,,
C57BL/6J,f,147,,,,,,,,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,8.5,,,,,,,,,,,
C57BL/6J,f,167,,,,,,,,,,,6.89,4,59.4,0.7,11.1,2.2,29.5,3.5,10.71,44,15.78,14.19,32.06,15.19,47.39,348,6.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C57BL/6J,f,168,,,,,,,,,,,6.26,3.5,56.1,0.6,9.9,2.2,34,7.5,11.13,44,13.88,13.85,31.74,15.41,48.56,495,5.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C57BL/6J,f,170,,,,,,,,,,,4.98,3.2,65.9,0.4,9.2,1.4,24.9,2.3,11.22,45,14.24,14.43,32.07,16.19,50.47,804,5.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C57BL/6J,f,171,,,,,,,,,,,8.45,5.1,61.4,0.8,10.5,2.5,28.1,5.1,10.03,45,14.02,14.03,31.39,14.07,44.84,501,6.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C57BL/6J,f,172,,,,,,,,,,,10.06,4.9,49.2,0.9,9.9,4.3,40.9,15.6,10.31,44,14.04,14.16,32.01,14.59,45.59,197,6.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C57BL/6J,f,175,145,7,116,1.32,16,21,151,,21,0.2,10.56,5.3,50.2,1,9.6,4.3,40.2,16.2,11.4,46,13.55,14.58,31.58,16.62,52.63,266,6.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C57BL/6J,f,176,148,6.4,120,1.12,18,18,182,,19,0.2,6.34,3.7,59.8,0.7,11.1,1.9,29.1,5.1,11.67,45,14.06,14.25,31.34,16.62,53.04,565,5.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C57BL/6J,f,177,147,6.6,118,1.18,15,22,200,,20,0.2,6.82,3.8,55.8,0.7,11,2.3,33.2,6.4,11.69,46,13.81,14.3,31.3,16.72,53.41,565,5.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C57BL/6J,f,178,148,6.5,119,1.23,17,20,198,,22,0.2,4.97,3.3,67.4,0.4,9.4,1.3,23.2,2.5,11.61,46,14.19,14.43,31.46,16.75,53.25,617,5.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C57BL/6J,f,179,147,6.7,116,1.23,19,20,206,,21,0.3,5.79,3.8,66.7,0.6,11.3,1.4,22,3.1,10.64,45,14.19,13.78,30.44,14.66,48.15,535,5.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C57BL/6J,f,180,147,6.3,117,1.24,15,22,208,,15,0.2,8.86,4.7,53.6,0.8,9.6,3.4,36.8,11.3,12.21,45,13.74,14.15,31.62,17.28,54.64,457,5.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C57BL/6J,f,181,146,6.1,113,1.22,16,24,165,,21,0.3,7.33,5.2,71.6,0.7,10.1,1.4,18.3,1.4,11.67,46,13.92,14.12,30.92,16.47,53.27,707,5.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C57BL/6J,f,182,148,6.5,116,1.25,18,22,161,,20,0.2,8.13,5.6,70,0.8,10.1,1.7,19.9,2.7,11.2,48,14.92,14.31,30.08,16.03,53.28,435,5.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
